English,Polish
part,część
history,historia
search,szukac
only,jedyny
police,policja
thought,myśl
help,pomoc
request,prośba
kind,miły
month,miesiąc
brother.brat
let,niech
because,ponieważ
to put,położyć
no,nie
leash,smycz
them,oni
city,miasto
each,kazdy
speak,mowic
come,przyjsc
should,powinien
baby,dziecko
long time,długi czas
hours,godziny
will,wola
while,w trakcie
meet again,spotkac sie ponownie
any,jakikolwiek
square,kwadrat
speak,mowic
understood,zrozumiec
knew,wiedzialem
were,byli
Warning,ostrzezenie
here is,tutaj jest
could,mógł
case,przypadek
give,dać
type,typ
their,ich
given,dany
train,pociąg
body,ciało
place,miejsce
eyes,oczy
way,droga
listen,słuchać
whose,których
find,znaleźć
first,pierwszy
lost,zgubiony
hand,ręka
first,pierwszy
side,strona
power,moc
old,stary
be,być
here,tutaj
morning,poranek
so much,tak wiele
child,dziecko
point,punkt
came,przyszedl
after,potem
sorry,przepraszam
come,chodź
in front of,naprzeciwko
towards,naprzód
minutes,minuty
request,prośba
bedroom,pokój
placed,położony
beautiful,piękny
law,prawo
would like to,chciałby
today,dzisiaj
husband,mąż
cause,przyczyna
finally,w końcu
hope,nadzieja
water,woda
Wait,czekaj
left,lewo
new,nowy
job,praca
Stop,stop
would say,powiedzialby
Earth,ziemia
account,konto
given,dany
far,daleko
end,koniec
believe,wierzyc
sweetheart,słodziak
large,wielki
rather,raczej
will have,będzie miał
girls,dziewczyny
to play,grać
office,biuro